date, name, place
2/17/2018,Mit Martin Herzberg – Live in Bern,"Campus Muristalden, Bern (CH)"
2/16/2018,Mit Martin Herzberg – Live in Zürich,"Karl der Grosse, Zürich (CH)"
2/14/2018,Mit Martin Herzberg – Live in Luzern,"Hotel Chateau Gütsch, Luzern (CH)"
2/3/2018,Mit Martin Herzberg – Live in der Philharmonie Berlin,Philharmonie Berlin
12/19/2017,Mit Martin Herzberg und Stefanie John – Ein Klavierkonzert unter Sternen,Planetarium Bochum
12/15/2017,Mit Martin Herzberg und Stefanie John – Live in Hamburg,"Tschaikowsky-Saal, Hamburg"
12/10/2017,Mit Martin Herzberg – Live in Leipzig II,"Villa Rosental, Leipzig"
12/10/2017,Mit Martin Herzberg – Live in Leipzig I,"Villa Rosental, Leipzig"
12/9/2017,Mit Martin Herzberg – Live in Nürnberg,"St. Elisabeth Kirche, Nürnberg"
12/8/2017,Mit Martin Herzberg – Live in Augsburg,"Zeughaus, Augsburg"
12/6/2017,Mit Martin Herzberg – Live in München,"St. Elisabeth Kirche Haidhausen, München"
12/5/2017,Mit Martin Herzberg – Live in Stuttgart,"Alte Scheuer Degerloch, Stuttgart"
12/4/2017,Mit Martin Herzberg – Live in Karlsruhe,"Kleine Kirche, Karlsruhe"
12/2/2019,Mit Martin Herzberg – Live in Heidelberg,"Providenzkirche, Heidelberg"
12/1/2017,Mit Martin Herzberg – Live in Frankfurt,"Titania, Frankfurt"
11/30/2017,Mit Martin Herzberg und Stefanie John – Ein Klavierkonzert unter Sternen,Planetarium Bochum
11/28/2017,Mit Martin Herzberg – Live in Köln,"Altes Pfandhaus, Köln"
11/12/2017,Mit Martin Herzberg – Live in Lüneburg,
